Тип занятия,Дата,Избранное,Название,Расстояние,Калории,Время,Средняя ЧП,Максимальная ЧП,Средняя частота,Максимальная частота вращения,Средний темп,Лучший темп,Подъем,Общий спуск,Средняя длина шага,Training Stress Score®,Шаги,Минимальная температура,Декомпрессия,Время лучшего круга,Количество кругов,Максимальная температура,Время в движении,Истекшее время,Минимальная высота,Максимальная высота
Поход,2025-11-04 09:32:54,false,"Катав-Ивановский район Поход","7.82","679","02:18:09","108","169","76","170","17:40","--","--","--","0.75","0.0","11,378","--","Нет","02:18:09","1","--","00:00:00","02:48:38","551","652"
Поход,2025-11-03 09:41:38,false,"Катав-Ивановский район Поход","15.67","2,101","06:32:33","122","183","56","191","25:04","--","--","--","0.71","0.0","24,706","--","Нет","06:32:33","1","--","00:00:00","06:32:33","804","1,580"
Поход,2025-07-12 13:41:28,false,"Саткинский район Поход","12.95","2,069","05:45:00","127","178","45","160","26:37","3:52","2,497","2,878","0.84","0.0","17,388","21.0","Нет","05:45:00","1","30.0","02:38:07","05:45:00","-500","954"
Поход,2025-06-21 13:00:27,false,"Саткинский район Поход","11.99","2,139","06:28:44","121","169","35","234","32:26","2:37","2,483","1,092","0.89","0.0","15,238","18.0","Нет","06:28:44","1","27.0","02:15:16","06:28:44","699","2,207"
Поход,2025-06-01 13:22:52,false,"Первая встреча с медведем ","1.16","248","00:39:53","112","137","47","160","34:18","8:19","295","194","0.62","0.0","1,886","30.0","Нет","00:39:53","1","33.0","00:16:45","00:39:53","255","466"
Поход,2025-05-31 12:53:39,false,"Мелеузовский район Поход","2.94","605","01:49:17","112","155","25","160","37:12","1:42","204","365","1.07","0.0","3,282","25.0","Нет","01:49:17","1","33.0","00:28:55","01:49:17","183","670"
Поход,2025-05-02 10:38:52,false,"Саракташский район Поход","16.10","1,363","06:50:13","94","94","59","228","25:29","0:53","1,385","1,598","0.66","0.0","24,476","16.0","Нет","06:50:13","1","29.0","03:26:06","08:25:46","41","739"
Поход,2025-05-01 12:20:58,false,"Акбулакский район Поход","7.86","986","05:31:16","82","126","33","160","42:12","11:14","131","194","0.71","0.0","11,688","20.0","Нет","05:31:16","1","32.0","01:59:54","05:31:16","162","218"
Поход,2025-04-06 09:03:31,false,"Златоуст Поход","10.93","1,108","04:02:42","106","150","66","159","22:13","11:54","127","440","0.69","0.0","--","18.0","Нет","04:02:42","1","30.0","02:42:50","04:02:42","471","835"
Поход,2025-04-05 09:32:03,false,"Златоуст Поход","19.26","2,174","05:07:44","125","171","89","239","15:59","8:22","1,050","788","0.70","0.0","28,188","18.0","Нет","05:07:44","1","26.0","04:16:12","05:07:44","431","819"
Поход,2025-03-29 14:54:03,false,"Уфа Поход","13.02","1,395","04:20:10","115","156","72","160","19:59","9:01","186","284","0.70","0.0","19,690","22.0","Нет","04:20:10","1","30.0","03:17:22","06:11:56","66","162"
Поход,2025-03-23 12:12:26,false,"Белорецкий район Поход","4.29","508","01:31:33","110","141","60","194","21:19","1:26","159","200","0.78","0.0","5,926","17.0","Нет","01:31:33","1","30.0","00:57:44","01:31:33","595","747"
Поход,2025-03-22 13:31:21,false,"Белорецкий район Поход","12.85","1,841","04:57:16","123","159","65","211","23:09","9:08","883","931","0.66","0.0","20,408","15.0","Нет","04:57:16","1","31.0","03:13:24","04:57:19","446","1,115"
Поход,2025-03-02 11:28:18,false,"Уфа Поход","5.76","511","01:25:25","112","138","96","124","14:49","11:10","97","179","0.70","0.0","8,632","17.0","Нет","01:25:25","1","28.0","01:19:52","01:25:25","170","289"
Поход,2024-12-07 10:36:05,false,"Белорецкий район Поход","7.70","1,206","03:43:58","110","162","47","235","29:05","5:19","394","476","0.73","0.0","11,888","9.0","Нет","03:43:58","1","19.0","01:42:39","03:43:58","573","952"
Поход,2024-09-15 12:33:05,false,"Ашинский район Поход","8.54","718","02:36:07","100","149","35","160","18:16","0:45","127","181","1.56","0.0","6,524","23.0","Нет","02:36:07","1","33.0","00:58:18","02:36:07","166","304"
Поход,2024-09-14 10:07:37,false,"Катав-Ивановский район Поход","19.25","3,148","09:07:01","119","169","49","212","28:26","11:01","898","827","0.71","0.0","30,310","14.0","Нет","09:07:01","1","30.0","04:45:04","09:07:01","810","1,625"
Поход,2024-07-21 10:22:40,false,"Софийские озера","19.89","3,418","10:24:50","132","171","46","207","31:23","0:38","2,660","2,539","0.69","0.0","34,186","19.0","Нет","10:24:50","1","31.0","04:08:40","11:07:11","1,468","2,686"
Поход,2024-07-20 14:42:19,false,"Зеленчукский район Поход","14.15","551","02:29:05","86","140","38","160","10:32","0:46","316","400","2.49","0.0","6,252","25.0","Нет","02:29:05","1","31.0","01:26:53","02:29:05","1,547","1,875"
Поход,2024-07-18 17:53:14,false,"Кисловодск Поход","7.63","673","02:18:41","103","146","72","160","18:11","5:02","475","703","0.77","0.0","10,760","26.0","Нет","02:18:41","1","28.0","01:41:12","02:18:41","616","984"
Поход,2024-07-16 03:02:37,false,"восхождение на Эльбрус","12.50","3,190","09:01:40","121","165","7","160","43:17","1:02","1,635","1,900","3.10","0.0","7,114","14.0","Нет","09:01:40","1","33.0","01:46:24","09:01:40","3,823","5,518"
Поход,2024-07-14 08:09:32,false,"Эльбрусский район Поход. основная тренировка. седьмая.","6.58","3,208","07:37:14","131","163","3","158","--","1:14","804","1,107","5.15","0.0","6,118","17.0","Нет","07:37:14","1","26.0","00:37:37","07:37:14","3,765","4,703"
Поход,2024-07-13 15:46:31,false,"Эльбрусский район Поход. миниаклиматизация","2.37","679","01:59:53","110","146","6","158","50:40","1:06","359","171","3.36","0.0","2,436","21.0","Нет","01:59:53","1","28.0","00:19:00","01:59:53","3,885","4,084"
Поход,2024-07-12 08:40:14,false,"Эльбрусский район Поход. 6 тренировка акклиматизация ","16.16","2,325","05:43:55","126","174","37","234","21:17","2:01","2,142","2,052","1.26","0.0","19,816","22.0","Нет","05:43:55","1","31.0","03:25:38","05:43:55","2,175","3,220"
Поход,2024-07-11 08:36:57,false,"Эльбрусский район Поход. Пятая тренировка ","11.45","2,544","05:47:47","134","171","21","190","30:21","7:46","1,241","611","1.53","0.0","13,850","23.0","Нет","05:47:47","1","36.0","02:26:30","05:47:47","2,075","3,100"
Поход,2024-07-10 15:37:08,false,"Эльбрусский район Поход. Четвёртая полутренировка ","9.66","711","02:19:50","105","134","84","160","14:29","3:34","578","512","0.82","0.0","12,114","24.0","Нет","02:19:50","1","28.0","01:58:40","02:19:50","1,919","2,101"
Поход,2024-07-08 11:27:05,false,"Карачаевский район Поход. третья тренировка ","5.89","1,400","03:45:46","120","163","30","207","38:19","5:26","605","787","0.86","0.0","8,826","24.0","Нет","03:45:46","1","32.0","01:08:13","03:45:47","1,601","1,933"
Поход,2024-07-07 11:47:09,false,"Карачаевский район Поход. вторая тренировка","4.14","1,757","03:03:38","142","180","56","159","44:20","7:38","1,326","445","0.40","0.0","10,336","16.0","Нет","03:03:38","1","27.0","01:06:40","03:31:17","2,278","3,102"
Поход,2024-07-06 11:47:57,false,"Батукские. Первая тренировка перед Эльбрусом","9.21","1,728","04:09:10","125","179","48","234","27:03","6:29","973","972","0.77","0.0","14,398","18.0","Нет","04:09:10","1","31.0","02:08:41","04:09:10","1,401","2,067"
Поход,2024-06-16 09:33:22,false,"Белорецкий район Поход","15.26","1,379","04:11:38","109","143","82","213","16:29","4:55","441","1,081","0.74","0.0","22,248","27.0","Нет","04:11:38","1","33.0","03:29:21","04:11:38","522","1,317"
Поход,2024-06-15 12:41:52,false,"Катав-Ивановский район Поход","17.25","3,188","06:56:22","134","176","55","234","24:09","5:13","1,611","906","0.75","0.0","24,758","21.0","Нет","06:56:22","1","33.0","04:01:10","06:56:35","417","1,238"
Поход,2024-05-08 10:50:41,false,"Кугарчинский район Поход","7.60","947","02:48:33","108","155","55","158","22:12","6:38","346","318","0.81","0.0","10,530","20.0","Нет","02:48:33","1","27.0","01:30:21","02:48:33","253","412"
Поход,2024-05-07 21:08:23,false,"Кугарчинский район Поход","8.99","784","05:53:54","64","139","4","165","39:24","0:46","81","180","5.66","0.0","2,380","21.0","Нет","05:53:54","1","31.0","00:26:29","05:53:54","205","371"
Поход,2024-02-18 11:01:11,false,"Златоуст Поход","8.78","626","02:01:32","100","129","103","185","13:51","10:21","143","456","0.70","0.0","12,874","9.0","Нет","02:01:32","1","24.0","01:54:32","02:01:32","490","817"
Поход,2024-02-17 16:45:23,false,"Златоуст Поход","1.71","876","02:03:45","126","169","15","177","--","7:27","192","222","0.95","0.0","3,092","5.0","Нет","02:03:45","1","27.0","00:15:25","02:03:45","806","1,033"
Поход,2024-02-17 11:12:55,false,"Златоуст Поход","8.57","1,396","03:42:02","118","155","55","161","25:55","10:33","301","353","0.70","0.0","14,630","9.0","Нет","03:42:02","1","19.0","02:05:07","03:42:02","796","1,041"
Поход,2024-02-16 21:15:05,false,"Златоуст Поход","8.84","1,301","02:15:52","138","159","96","204","15:22","10:00","482","199","0.68","0.0","13,346","10.0","Нет","02:15:52","1","19.0","02:02:20","02:21:44","536","853"
Поход,2023-11-05 11:07:22,false,"Златоуст Поход","14.63","2,436","06:03:45","119","161","55","226","24:53","1:22","844","795","0.73","0.0","23,456","13.0","Нет","06:03:45","1","26.0","03:14:05","06:03:51","407","989"
Поход,2023-11-04 13:06:30,false,"Златоуст Поход","20.08","2,651","08:15:29","108","157","52","210","24:41","6:28","679","602","0.77","0.0","30,106","8.0","Нет","08:15:29","1","26.0","04:39:46","08:39:26","377","877"
Поход,2023-09-24 13:39:50,false,"Кармаскалинский район Поход","2.90","354","01:12:06","97","139","64","160","24:50","11:11","149","161","0.63","0.0","5,120","28.0","Нет","01:12:06","1","32.0","00:47:38","01:12:07","162","284"
Поход,2023-09-17 09:27:37,false,"Белорецкий район Поход","12.68","2,197","06:09:38","115","157","45","226","29:08","7:09","662","703","0.77","0.0","18,390","19.0","Нет","06:09:38","1","36.0","02:50:34","06:09:41","280","956"
Поход,2023-09-02 12:12:08,false,"Саткинский район Поход","8.53","2,299","06:28:58","113","162","26","199","45:32","9:55","548","381","0.86","0.0","11,950","14.0","Нет","06:28:58","1","25.0","01:41:13","06:29:08","704","1,384"
Поход,2023-08-26 11:45:31,false,"Белорецкий район Поход","11.69","1,771","05:52:04","102","159","49","190","30:08","5:51","591","621","0.68","0.0","18,518","18.0","Нет","05:52:04","1","28.0","02:57:14","05:52:04","200","803"
Поход,2023-08-16 12:14:19,false,"Белорецкий район Поход","12.17","887","04:54:33","--","--","53","222","24:11","3:00","473","814","0.78","0.0","17,136","27.0","Нет","04:54:33","1","32.0","02:44:37","04:54:33","354","904"
Поход,2023-08-15 20:02:14,false,"Белорецкий район Поход","1.50","99","01:17:15","--","--","34","158","51:26","11:26","346","28","0.57","0.0","3,384","24.0","Нет","01:17:15","1","28.0","00:23:25","01:17:15","359","686"
Поход,2023-07-24 16:38:22,false,"Итум-Калинский район Поход","5.67","399","02:59:20","--","--","54","160","31:38","11:32","314","390","0.58","0.0","9,658","22.0","Нет","02:59:20","1","29.0","01:35:14","03:02:49","1,227","1,517"
Поход,2023-07-24 10:38:19,false,"Итум-Калинский район Поход","2.42","186","00:58:10","--","--","68","156","24:01","9:18","207","216","0.61","0.0","4,198","23.0","Нет","00:58:10","1","29.0","00:39:42","00:58:10","2,040","2,247"
Поход,2023-07-23 10:40:26,false,"Хватит Дагестана, поехали в Чечню. Там лучше","1.47","112","00:28:38","--","--","76","156","19:31","11:59","54","53","0.68","0.0","2,346","30.0","Нет","00:28:38","1","34.0","00:23:41","00:28:38","860","892"
Поход,2023-07-22 15:25:36,false,"Кумторкалинский район Поход","2.28","161","01:06:30","--","--","51","165","29:14","2:34","124","132","0.68","0.0","3,710","30.0","Нет","01:06:30","1","35.0","00:37:13","01:06:30","152","268"
Поход,2023-07-20 10:48:16,false,"Прогулка на гору Маяк, в красивейшем Дагестане","8.96","657","04:17:17","84","84","53","227","28:44","4:07","597","641","0.66","0.0","14,984","21.0","Нет","04:17:17","1","33.0","02:21:06","05:07:50","1,469","2,352"
Поход,2023-07-19 10:23:57,false,"Ботлихский район Поход","17.87","1,004","03:54:48","--","--","30","160","13:09","0:50","413","634","2.53","0.0","7,980","19.0","Нет","03:54:48","1","33.0","01:35:56","04:05:09","1,846","2,284"
Поход,2023-07-17 11:45:45,false,"Прекрасная Алания ","6.52","366","03:16:16","--","--","33","180","30:08","2:01","608","767","1.02","0.0","8,132","16.0","Нет","03:16:16","1","31.0","01:04:20","03:16:16","1,705","2,268"
Поход,2023-07-16 11:12:55,false,"Водопады и город мертвых ","4.48","288","01:42:37","--","--","55","158","22:54","1:43","609","535","0.79","0.0","6,582","18.0","Нет","01:42:37","1","28.0","00:59:23","01:42:37","854","2,166"
Поход,2023-07-15 15:07:12,false,"Потрогали ледник руками. Природа тут такая величественная и могущественная ","9.96","625","03:13:54","--","--","58","220","19:28","8:32","490","519","0.88","0.0","13,328","19.0","Нет","03:13:54","1","27.0","02:00:21","03:15:53","1,796","2,139"
Поход,2023-07-14 12:18:50,false,"Пятигорская прогулка по горам ","7.80","476","04:49:36","--","--","40","196","37:07","7:12","1,019","822","0.67","0.0","15,168","28.0","Нет","04:49:36","1","33.0","01:42:36","04:49:36","810","1,361"
Поход,2023-07-10 09:51:57,false,"Хвалынский район Поход","14.13","921","02:33:11","--","--","58","180","10:51","0:53","206","337","1.60","0.0","9,648","29.0","Нет","02:33:11","1","32.0","01:48:58","02:56:14","52","326"
Поход,2023-07-09 15:04:17,false,"Жигули ","1.54","228","01:04:32","--","--","35","161","42:01","3:23","163","245","0.68","0.0","--","20.0","Нет","01:04:32","1","32.0","00:21:19","01:04:32","16","197"
Поход,2023-07-02 09:02:43,false,"Уреньга опять показала свой характер ","0.97","304","01:04:35","--","--","3","153","--","0:56","66","95","4.96","0.0","--","25.0","Нет","01:04:35","1","30.0","00:10:07","01:04:35","1,074","1,106"
Поход,2023-07-01 14:57:09,false,"Златоуст Поход","9.90","971","05:04:45","--","--","29","215","30:48","0:27","1,043","1,178","1.12","0.0","10,968","17.0","Нет","05:04:45","1","31.0","01:41:29","07:01:15","430","1,192"
