Тип занятия,Дата,Избранное,Название,Расстояние,Калории,Время,Средняя ЧП,Максимальная ЧП,Средняя частота,Максимальная частота вращения,Средний темп,Лучший темп,Подъем,Общий спуск,Средняя длина шага,Training Stress Score®,Шаги,Минимальная температура,Декомпрессия,Время лучшего круга,Количество кругов,Максимальная температура,Время в движении,Истекшее время,Минимальная высота,Максимальная высота
Поход,2023-05-08 10:38:41,false,"Малый Кумардак ","17.00","1,438","04:51:13","--","--","65","158","17:08","0:26","530","988","0.90","0.0","20,506","11.0","Нет","04:51:13","1","25.0","03:18:14","04:51:13","623","1,171"
Поход,2023-05-07 13:35:17,false,"Большой Кумардак ","15.38","1,416","06:54:32","--","--","43","218","26:58","0:29","799","349","0.86","0.0","19,670","9.0","Нет","06:54:32","1","28.0","03:19:17","06:54:32","643","1,278"
Поход,2023-02-03 07:52:16,false,"Уфа Поход","2.59","188","00:25:10","--","--","108","133","9:42","4:21","35","9","0.95","0.0","2,760","10.0","Нет","00:25:10","1","28.0","00:23:37","00:25:10","47","81"
Поход,2022-12-17 11:26:51,false,"Саткинский район Поход","12.53","1,010","04:18:04","--","--","59","175","20:35","0:27","676","862","0.83","0.0","16,416","8.0","Нет","04:18:04","1","28.0","02:32:34","04:18:17","652","1,158"
Поход,2022-11-11 14:33:32,false,"Белорецкий район Поход","8.68","791","02:47:58","--","--","58","157","19:21","0:53","795","797","0.90","0.0","--","9.0","Нет","02:47:58","1","24.0","01:41:06","02:47:58","764","1,174"
Поход,2022-10-08 12:54:29,false,"Невьянский район Поход","12.56","1,180","04:31:49","--","--","56","179","21:39","0:33","318","375","0.82","0.0","15,890","15.0","Нет","04:31:49","1","27.0","02:46:19","04:31:49","257","404"
Поход,2022-09-04 11:35:56,false,"Златоуст Поход","6.90","545","01:44:16","--","--","89","158","15:07","1:14","229","238","0.74","0.0","9,630","20.0","Нет","01:44:16","1","23.0","01:29:36","01:44:16","547","701"
Поход,2022-09-03 08:55:11,false,"Златоуст Поход","24.10","3,093","12:16:33","93","142","33","227","30:35","2:05","1,991","1,974","1.00","0.0","30,034","13.0","Нет","12:16:33","1","32.0","04:52:47","12:16:33","-500","1,026"
Поход,2022-08-27 12:48:31,false,"Белорецкий район Поход","31.08","3,353","25:00:39","--","--","--","--","48:17","0:12","3,533","3,558","2.51","0.0","--","24.0","Нет","25:00:39","1","34.0","07:14:13","25:00:43","482","1,107"
Поход,2022-08-21 10:26:25,false,"Златоуст Поход","9.95","840","03:11:24","101","119","62","240","19:13","1:03","227","632","0.84","0.0","13,502","23.0","Нет","03:11:24","1","28.0","02:09:18","03:12:04","456","939"
Поход,2022-08-20 11:40:17,false,"Златоуст Поход","26.07","2,233","08:11:21","--","--","50","160","18:51","0:22","1,685","1,842","1.06","0.0","27,070","22.0","Нет","08:11:21","1","30.0","04:46:38","08:11:21","293","1,178"
Поход,2022-08-19 11:37:42,false,"Златоуст Поход","33.06","2,752","10:14:48","--","--","54","190","18:36","0:11","1,850","1,236","0.99","0.0","35,810","14.0","Нет","10:14:48","1","29.0","06:16:06","10:15:42","429","1,105"
Поход,2022-08-13 11:19:10,false,"Катав-Ивановский район Поход","48.52","4,155","26:53:17","99","125","30","237","33:16","0:29","3,963","4,026","1.02","0.0","51,598","15.0","Нет","26:53:17","1","34.0","10:05:33","26:53:20","494","1,547"
Поход,2022-07-07 06:44:05,false,"Ермаковский район Поход","19.05","1,586","08:16:02","--","--","27","256","26:03","0:10","2,424","2,118","1.41","0.0","18,168","12.0","Нет","08:16:02","1","24.0","03:02:13","08:16:02","1,524","2,704"
Поход,2022-07-05 09:29:07,false,"Ермаковский район Поход","22.13","2,091","11:18:06","--","--","35","234","30:38","0:22","1,239","1,433","0.93","0.0","31,606","17.0","Нет","11:18:06","1","30.0","04:50:47","11:18:06","1,401","2,018"
Поход,2022-07-04 10:10:43,false,"Ермаковский район Поход","15.47","1,472","08:46:41","--","--","32","236","34:01","0:45","1,402","1,360","0.92","0.0","21,172","17.0","Нет","08:46:41","1","29.0","03:12:09","08:46:41","1,540","2,208"
Поход,2022-07-03 10:28:39,false,"Ермаковский район Поход","12.36","1,118","06:29:53","135","136","26","184","31:34","0:43","817","723","1.20","0.0","13,896","16.0","Нет","06:29:53","1","30.0","02:26:25","07:11:24","1,337","1,824"
Поход,2022-06-12 12:45:26,false,"Белорецкий район Поход","8.78","808","04:19:56","120","133","17","160","29:36","0:24","259","454","1.98","0.0","6,002","16.0","Нет","04:19:56","1","28.0","01:14:14","04:20:05","1,023","1,334"
Поход,2022-06-11 10:28:17,false,"Катав-Ивановский район Поход","31.44","2,790","11:54:07","87","92","45","218","22:42","0:25","1,175","849","0.98","0.0","36,702","13.0","Нет","11:54:07","1","26.0","06:19:00","11:54:07","392","1,592"
Поход,2022-06-05 07:43:33,false,"Златоуст Поход","13.16","1,384","05:04:02","93","139","49","165","23:05","0:36","247","763","0.89","0.0","16,090","12.0","Нет","05:04:02","1","22.0","02:35:03","05:04:02","498","1,197"
Поход,2022-06-04 11:08:25,false,"Златоуст Поход","16.51","2,883","08:18:15","107","150","38","165","30:12","0:23","994","433","0.88","0.0","22,156","17.0","Нет","08:18:15","1","28.0","03:15:01","08:18:15","452","1,131"
Поход,2022-05-31 10:42:00,false,"Поход","0.00","--","00:00:19.1","76","80","--","--","--","--","--","--","--","0.0","--","28.0","Нет","00:00:19.1","1","28.0","00:00:00","00:00:19.1","133","133"
Поход,2022-05-29 12:12:40,false,"Белорецкий район Поход","6.21","682","01:32:01","117","140","83","147","14:49","1:14","282","618","0.82","0.0","8,036","24.0","Нет","01:32:01","1","31.0","01:13:23","01:32:01","221","829"
Поход,2022-05-28 15:06:10,false,"Белорецкий район Поход","13.89","2,572","05:18:30","129","174","58","179","22:56","0:33","1,010","677","0.75","0.0","18,806","20.0","Нет","05:18:30","1","26.0","02:50:00","05:18:30","213","919"
Поход,2022-05-15 10:44:53,false,"Златоуст Поход","17.39","2,081","06:06:18","109","147","54","197","21:04","0:25","593","884","0.88","0.0","22,836","21.0","Нет","06:06:18","1","29.0","03:24:13","06:06:25","208","933"
Поход,2022-05-14 10:42:16,false,"Златоуст Поход","33.03","4,201","11:42:54","113","156","53","226","21:17","0:07","2,120","1,895","0.89","0.0","41,684","12.0","Нет","11:42:54","1","27.0","06:23:33","11:42:54","507","1,284"
Поход,2022-05-10 11:20:27,false,"Златоуст Поход","12.47","970","03:10:35","95","134","72","240","15:17","0:15","646","718","0.90","0.0","15,152","17.0","Нет","03:10:35","1","25.0","02:19:10","03:10:35","481","817"
Поход,2022-05-09 09:27:29,false,"Златоуст Поход","32.61","3,401","10:53:25","100","142","66","218","20:02","0:16","1,402","1,270","0.76","0.0","47,726","20.0","Нет","10:53:25","1","29.0","07:10:34","11:43:14","576","1,044"
Поход,2022-05-08 14:57:25,false,"Златоуст Поход","14.08","1,799","04:51:52","112","155","55","159","20:44","0:31","699","632","0.88","0.0","18,028","19.0","Нет","04:51:52","1","26.0","02:37:08","06:41:17","416","867"
Поход,2022-05-02 11:19:09,false,"Катав-Ивановский район Поход","14.04","877","03:55:59","95","135","75","207","16:48","0:46","128","541","0.79","0.0","18,878","9.0","Нет","03:55:59","1","21.0","02:59:30","03:55:59","557","1,029"
Поход,2022-05-01 12:25:49,false,"Катав-Ивановский район Поход","21.01","2,333","07:46:12","97","151","55","180","22:12","0:31","813","371","0.82","0.0","28,390","11.0","Нет","07:46:12","1","24.0","04:38:19","07:46:12","559","986"
Поход,2022-04-23 09:31:48,false,"Саткинский район Поход","28.84","2,561","10:11:58","94","105","55","239","21:14","0:27","976","1,102","0.86","0.0","37,358","12.0","Нет","10:11:58","1","24.0","06:15:37","10:11:58","521","999"
Поход,2022-03-26 16:24:47,false,"Ишимбайский район Поход","4.50","824","02:18:14","107","143","41","169","30:42","1:09","259","265","0.79","0.0","7,324","9.0","Нет","02:18:14","1","27.0","00:54:13","02:18:14","105","357"
Поход,2022-03-26 12:58:56,false,"Ишимбайский район Поход","7.31","732","02:09:30","105","142","--","--","17:42","0:37","138","172","1.92","0.0","--","15.0","Нет","02:09:30","1","27.0","01:15:47","02:09:30","148","250"
Поход,2022-03-19 11:13:56,false,"Верхняя Пышма Поход","18.84","1,295","04:50:04","109","153","--","--","15:24","0:51","650","933","1.61","0.0","--","14.0","Нет","04:50:04","1","32.0","03:34:42","04:50:04","-26","339"
Поход,2022-03-07 11:34:46,false,"Сочи Поход","19.64","1,647","05:12:07","102","146","57","203","15:53","0:13","1,480","1,240","1.10","0.0","19,720","12.0","Нет","05:12:07","1","25.0","03:04:11","05:12:07","159","927"
Поход,2022-03-06 12:07:12,false,"Сочи Поход","10.42","1,401","04:10:32","90","137","34","210","24:03","0:32","335","379","1.22","0.0","10,534","21.0","Нет","04:10:32","1","27.0","01:29:51","04:10:32","--","119"
Поход,2022-02-26 14:51:56,false,"Белорецкий район Поход","41.50","2,315","07:05:26","107","160","17","201","10:15","0:25","1,589","1,794","5.76","0.0","12,904","15.0","Нет","07:05:26","1","31.0","01:44:30","07:05:30","92","837"
Поход,2022-02-26 11:27:47,false,"Белорецкий район Поход","4.31","1,035","02:25:08","120","160","32","158","33:44","0:50","449","454","0.94","0.0","7,218","14.0","Нет","02:25:08","1","24.0","00:47:48","02:25:08","651","1,073"
Поход,2022-02-05 14:03:30,false,"Белорецкий район Поход","2.93","367","00:55:59","113","147","66","158","19:08","1:21","93","158","0.79","0.0","4,068","9.0","Нет","00:55:59","1","20.0","00:34:13","01:32:39","340","629"
Поход,2022-02-05 10:38:22,false,"Белорецкий район Поход","6.09","1,460","03:21:49","123","163","36","247","33:08","0:38","765","455","0.84","0.0","9,754","9.0","Нет","03:21:49","1","30.0","01:09:50","03:21:49","379","702"
Поход,2022-01-30 11:44:49,false,"Златоуст Поход","5.27","523","01:32:40","103","152","68","169","17:36","1:34","107","249","0.83","0.0","7,534","15.0","Нет","01:32:40","1","26.0","00:59:36","01:32:40","493","657"
Поход,2022-01-30 10:18:22,false,"Поход","0.00","--","00:00:01.4","98","98","--","--","--","--","--","--","--","0.0","--","28.0","Нет","00:00:01.4","1","28.0","00:00:00","00:00:01.4","657","657"
Поход,2022-01-30 08:08:06,false,"Златоуст Поход","1.73","696","01:56:20","105","133","12","177","--","0:57","238","392","1.26","0.0","2,258","10.0","Нет","01:56:20","1","23.0","00:17:18","01:56:20","649","1,042"
Поход,2022-01-29 10:31:16,false,"Златоуст Поход","19.25","2,732","08:20:26","104","156","51","166","26:00","0:36","1,254","1,238","0.75","0.0","29,314","6.0","Нет","08:20:26","1","26.0","03:56:54","08:20:26","650","1,230"
Поход,2022-01-28 16:32:12,false,"Златоуст Поход","16.06","1,528","03:43:56","114","147","92","241","13:57","0:53","584","477","0.78","0.0","21,898","1.0","Нет","03:43:56","1","26.0","03:07:28","06:21:50","513","683"
Поход,2022-01-22 09:23:35,false,"Екатеринбург Поход","20.13","1,769","05:17:19","105","155","82","221","15:46","0:56","375","386","0.78","0.0","26,882","1.0","Нет","05:17:19","1","25.0","03:52:41","05:17:19","281","383"
Поход,2022-01-15 11:39:58,false,"Верхняя Пышма Поход","15.95","1,644","04:23:41","106","162","76","249","16:32","1:06","460","477","0.80","0.0","22,448","5.0","Нет","04:23:41","1","17.0","03:02:24","04:23:41","262","448"
Поход,2022-01-06 09:43:49,false,"Yalta Поход","23.97","1,985","08:08:11","--","--","57","236","20:22","0:25","1,784","2,063","0.86","0.0","32,298","11.0","Нет","08:08:11","1","28.0","04:39:59","08:08:14","-76","1,106"
Поход,2022-01-04 13:05:55,false,"Yalta Поход","10.28","910","04:19:45","--","--","42","228","25:15","0:24","145","987","0.95","0.0","13,396","4.0","Нет","04:19:45","1","21.0","01:50:00","04:19:45","358","1,207"
Поход,2021-12-26 10:03:34,false,"Белорецкий район Поход","6.55","1,213","03:33:21","108","144","11","156","32:33","9:58","451","451","2.81","0.0","4,736","2.0","Нет","03:33:21","1","23.0","01:11:49","03:33:21","685","1,122"
Поход,2021-12-25 10:41:48,false,"Белорецкий район Поход","13.59","2,227","06:06:13","112","184","27","192","26:56","8:38","717","714","1.36","0.0","16,102","2.0","Нет","06:06:13","1","24.0","02:47:59","06:06:13","-331","240"
Поход,2021-11-06 10:34:16,false,"Катав-Ивановский район Поход","28.90","2,590","08:07:12","109","154","70","245","16:51","1:52","1,082","1,179","0.85","0.0","36,432","11.0","Нет","08:07:12","1","26.0","05:26:17","08:57:20","585","1,482"
Поход,2021-11-05 10:12:26,false,"Катав-Ивановский район Поход","27.55","3,106","09:02:02","113","161","66","238","19:41","9:12","1,209","1,204","0.77","0.0","38,870","1.0","Нет","09:02:02","1","26.0","05:38:27","09:02:02","572","1,501"
Поход,2021-11-04 09:55:47,false,"Катав-Ивановский район Поход","30.81","3,658","10:31:27","113","160","66","209","20:30","9:04","1,579","1,605","0.74","0.0","44,860","6.0","Нет","10:31:27","1","28.0","06:57:09","10:31:27","585","1,655"
Поход,2021-10-23 11:13:11,false,"Кыштым Поход","13.78","920","06:43:17","--","--","49","224","29:17","5:08","900","972","0.70","0.0","20,966","17.0","Нет","06:43:17","1","26.0","03:16:49","06:43:17","219","585"
Поход,2021-10-10 09:05:14,false,"Белорецкий район Поход","5.84","367","02:13:03","--","--","30","162","22:48","11:18","14","563","1.48","0.0","4,894","10.0","Нет","02:13:03","1","20.0","01:13:28","02:13:03","270","821"
Поход,2021-10-09 12:32:27,true,"Белорецкий район Поход","15.72","1,054","06:39:52","--","--","48","229","25:27","9:55","1,180","526","0.82","0.0","21,602","12.0","Нет","06:39:52","1","24.0","03:30:06","06:39:58","295","1,059"
Поход,2021-10-03 12:20:49,false,"Белорецкий район Поход","11.31","744","03:57:25","--","--","39","220","20:59","2:37","569","572","1.23","0.0","11,360","11.0","Нет","03:57:25","1","25.0","02:21:23","03:57:25","540","1,059"
Поход,2021-10-02 12:31:34,false,"Белорецкий район Поход","25.50","2,023","07:37:08","93","112","71","223","17:55","0:54","875","852","0.78","0.0","34,996","8.0","Нет","07:37:08","1","25.0","05:40:44","07:37:14","540","1,363"
Поход,2021-09-26 11:24:56,false,"Белорецкий район Поход","6.56","615","02:49:49","--","--","40","212","25:53","0:43","6","568","0.98","0.0","8,630","10.0","Нет","02:49:49","1","24.0","01:21:40","02:49:59","588","1,151"
Поход,2021-09-25 12:33:09,false,"Катав-Ивановский район Поход","20.56","1,802","06:53:05","73","83","55","243","20:05","0:32","1,276","996","0.91","0.0","26,468","8.0","Нет","06:53:05","1","25.0","04:08:37","06:53:06","570","1,324"
Поход,2021-07-17 13:11:04,false,"Сочи Ходьба","10.90","1,478","04:38:54","100","139","43","188","25:36","1:45","2,113","2,113","0.97","0.0","15,232","--","Нет","00:08:36.0","12","--","02:26:23","04:38:56","48","202"
